Neighborhood,group_sic_code_name_ext,group_sic_code,count
Ashburn,Business Services NEC,738999.0,2
Ashburn,Cafes,581214.0,1
Ashburn,Car Service,411904.0,15
Ashburn,Car Washes,754201.0,3
Ashburn,Cell Phones,599902.0,7
Ashburn,Church Organizations,866104.0,10
Ashburn,Clothing Retail,565101.0,5
Ashburn,Coffee Shops,581228.0,1
Ashburn,Computer Parts & Supplies,573402.0,3
Ashburn,Construction Building Contractors,152130.0,15
Ashburn,Construction Materials NEC (Wholesale),503999.0,6
Ashburn,Convenience Stores,541103.0,3
Ashburn,Dance Clubs,869921.0,2
Ashburn,Day Care,835101.0,14
Ashburn,Delivery Service,421205.0,2
Ashburn,Department Stores,531102.0,1
Ashburn,Distribution Services,731908.0,2
Ashburn,Dry Cleaners,721201.0,4
Ashburn,Dvd Sales & Service,573132.0,2
Ashburn,Electric Charging Station,554112.0,1
Ashburn,Electric Equipment & Supplies Retail,521135.0,3
Ashburn,Electronic Equipment & Supplies Retail,573117.0,1
Ashburn,Federal Government Executive Offices,911101.0,1
Ashburn,Federal Government General Offices,919901.0,1
Ashburn,Financial Planners,628205.0,1
Ashburn,Fire & Rescue,922404.0,1
Ashburn,Florists,599201.0,2
Ashburn,Food Markets,541101.0,1
Ashburn,Funeral Homes,726103.0,5
Ashburn,Furniture Stores,571216.0,4
Ashburn,Gas Stations,554101.0,10
Ashburn,Gift Shops,594712.0,1
Ashburn,Glass Replacement Shops,753698.0,2
Ashburn,Government Pension Health/Welfare Funds,637104.0,3
Ashburn,Grills Barbecue,572233.0,1
Ashburn,Grocers Health Foods,541108.0,1
Ashburn,Grocery Stores,541105.0,8
Ashburn,Health Clubs & Gyms,799101.0,2
Ashburn,Home Centers,521138.0,3
Ashburn,Homes Personal Care Facility,805911.0,4
Ashburn,Hospitals,806202.0,2
Ashburn,House Cleaning,734922.0,1
Ashburn,Ice Cream Parlors,581203.0,2
Ashburn,Investments,621111.0,6
Ashburn,Jewelers,594409.0,1
Ashburn,Kitchen Accessories,571928.0,1
Ashburn,Laundry & Garment Services NEC,721999.0,3
Ashburn,Legal Services,811198.0,2
Ashburn,Libraries,823106.0,2
Ashburn,Manicurists,723102.0,3
Ashburn,Manufacturers,399903.0,1
Ashburn,Medical Supplies,504704.0,1
Ashburn,Misc Equipment Rental & Leasing,735999.0,1
Ashburn,Moving Services,421401.0,3
Ashburn,Museums,841201.0,1
Ashburn,Nursing & Personal Care NEC,805999.0,8
Ashburn,Office Equipment (Wholesale),504498.0,1
Ashburn,Paint Stores,523107.0,1
Ashburn,Parking Garages,752102.0,3
Ashburn,Parks,799951.0,4
Ashburn,Pet Services,75210.0,2
Ashburn,Pharmacies,591205.0,2
Ashburn,Post Offices,431101.0,1
Ashburn,Preschools,835102.0,1
Ashburn,Real Estate Agents,653118.0,11
Ashburn,Recreational Vehicles Wholesale,501210.0,1
Ashburn,Repair Shops & Related Services NEC,769999.0,1
Ashburn,Research Labs,873101.0,1
Ashburn,Retail Shops,531104.0,4
Ashburn,Rubber & Plastic Footwear Retail,566112.0,1
Ashburn,Schools (K-12),821103.0,10
Ashburn,Shopping Centers & Malls,651201.0,1
Ashburn,Specialty Hospitals Except Psychiatric,806998.0,1
Ashburn,Sportswear,569913.0,1
Ashburn,Stock Exchanges,623102.0,3
Ashburn,Tax Return Preparation & Filing,729101.0,2
Ashburn,Telecommunications Services,481302.0,1
Ashburn,Telephone Companies,481304.0,3
Ashburn,Train Stations,401190.0,1
Ashburn,Transportation Services,411914.0,5
Ashburn,Travel Agents,472402.0,1
Ashburn,Variety Stores,533101.0,1
Ashburn,Wines Retail,592103.0,1
Auburn Gresham,(All) Dentists,802101.0,4
Auburn Gresham,(All) Doctors,801101.0,9
Auburn Gresham,(All) Insurance,641112.0,2
Auburn Gresham,(All) Places Of Worship,866107.0,4
Auburn Gresham,(All) Restaurants,581208.0,17
Auburn Gresham,Apartments,651303.0,1
Auburn Gresham,Auto Body Shops,753201.0,3
Auburn Gresham,Auto Rental,751401.0,3
Auburn Gresham,Banks,602101.0,4
Auburn Gresham,Banquet Rooms,581223.0,2
Auburn Gresham,Barbers,724101.0,16
Auburn Gresham,Bars,581301.0,2
