Neighborhood,group_sic_code_name_ext,group_sic_code,count
Capitol Hill,(All) Places Of Worship,866107.0,5
Capitol Hill,(All) Restaurants,581208.0,28
Capitol Hill,Advertising Marketing,731115.0,12
Capitol Hill,Ambulance Service,411902.0,1
Capitol Hill,Art Galleries & Dealers,599969.0,1
Capitol Hill,Art Schools,829919.0,1
Capitol Hill,Auto Body Shops,753201.0,2
Capitol Hill,Bakers Cake & Pie,546103.0,2
Capitol Hill,Banks,602101.0,14
Capitol Hill,Banquet Rooms,581223.0,1
Capitol Hill,Barbers,724101.0,5
Capitol Hill,Bars,581301.0,4
Capitol Hill,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,9
Capitol Hill,Book Stores,594201.0,2
Capitol Hill,Business Services NEC,738999.0,30
Capitol Hill,Butchering (Wholesale),514701.0,3
Capitol Hill,Cafes,581214.0,6
Capitol Hill,Car Service,411904.0,3
Capitol Hill,Cell Phones,599902.0,3
Capitol Hill,Children's Clothing,564103.0,2
Capitol Hill,Church Organizations,866104.0,30
Capitol Hill,Cigar Cigarette & Tobacco Dealers-Wholesale,519402.0,2
Capitol Hill,City Government Executive Offices,911104.0,2
Capitol Hill,Clothing Retail,565101.0,3
Capitol Hill,Clubs,864108.0,4
Capitol Hill,Cocktail Lounges,581303.0,1
Capitol Hill,Coffee Shops,581228.0,2
Capitol Hill,Colleges & Universities,822101.0,4
Capitol Hill,Computer Parts & Supplies,573402.0,4
Capitol Hill,Computer Services,737101.0,5
Capitol Hill,Condominiums,651301.0,1
Capitol Hill,Construction Building Contractors,152130.0,22
Capitol Hill,Construction Materials NEC (Wholesale),503999.0,3
Capitol Hill,Copiers,504403.0,3
Capitol Hill,Curtains Shower & Bath Wholesale,502332.0,5
Capitol Hill,Dance Clubs,869921.0,1
Capitol Hill,Day Care,835101.0,2
Capitol Hill,Delicatessens,581209.0,3
Capitol Hill,Delivery Service,421205.0,3
Capitol Hill,Department Stores,531102.0,2
Capitol Hill,Driving Instruction,829902.0,1
Capitol Hill,Dry Cleaners,721201.0,11
Capitol Hill,Dvd Sales & Service,573132.0,1
Capitol Hill,Electric Charging Station,554112.0,1
Capitol Hill,Electronic Equipment & Supplies Retail,573117.0,1
Capitol Hill,Federal Government General Offices,919901.0,6
Capitol Hill,Financial Planners,628205.0,2
Capitol Hill,Flooring,175203.0,1
Capitol Hill,Florists,599201.0,3
Capitol Hill,Food Markets,541101.0,3
Capitol Hill,Funeral Homes,726103.0,1
Capitol Hill,Garden Centers,526104.0,1
Capitol Hill,Gas Stations,554101.0,4
Capitol Hill,Gift Shops,594712.0,1
Capitol Hill,Glass Replacement Shops,753698.0,1
Capitol Hill,Government Pension Health/Welfare Funds,637104.0,6
Capitol Hill,Grocers Health Foods,541108.0,1
Capitol Hill,Grocery Stores,541105.0,11
Capitol Hill,Health Clubs & Gyms,799101.0,2
Capitol Hill,Hobby & Model Shops,594508.0,1
Capitol Hill,Homes Personal Care Facility,805911.0,17
Capitol Hill,Hospitals,806202.0,2
Capitol Hill,Hotels & Motels,701101.0,1
Capitol Hill,Investments,621111.0,3
Capitol Hill,Laboratories Agricultural,873122.0,1
Capitol Hill,Legal Services,811198.0,22
Capitol Hill,Libraries,823106.0,3
Capitol Hill,Lighting Stores,571926.0,1
Capitol Hill,Manicurists,723102.0,6
Capitol Hill,Medical Supplies,504704.0,1
Capitol Hill,Miscellaneous Food Stores,549999.0,2
Capitol Hill,Moving Services,421401.0,3
Capitol Hill,Museums,841201.0,5
Capitol Hill,News Service,738301.0,2
Capitol Hill,Nursing & Personal Care NEC,805999.0,13
Capitol Hill,Office Equipment (Wholesale),504498.0,3
Capitol Hill,Parking Garages,752102.0,7
Capitol Hill,Parks,799951.0,1
Capitol Hill,Pet Supplies,599929.0,2
Capitol Hill,Pharmacies,591205.0,2
Capitol Hill,Photography,722121.0,1
Capitol Hill,Post Offices,431101.0,1
Capitol Hill,Preschools,835102.0,3
Capitol Hill,Publishers,274105.0,3
Capitol Hill,Pubs,581305.0,1
Capitol Hill,Real Estate Agents,653118.0,23
Capitol Hill,Recycling Centers (Wholesale),509312.0,1
Capitol Hill,Repair Shops & Related Services NEC,769999.0,1
